Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Astrocaryum;Astrocaryum alatum;;70;50;;;60;40;25,1;;7;17;Yes;4,1;24;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (7%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Astrocaryum;Astrocaryum alatum;;70;50;;;60;40;25,1;;7;17;Yes;3,6;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Flagged line;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Panama;Dasyprocta punctata;Agouti;;;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;50;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;;;;1980;Bonaccorso et al., 1980;"Bonaccorso, F. J.; Glanz, W. E.; Sandfort, C. M. 1980. Feeding Assemblages of Mammals at Fruiting Dipteryx panamensis (Papilionaceae) Trees in Panama: seed predation dispersal and parasitism. Rev. Biol. Trop., 28(1):61-72."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation/ Line;6 meses;x;x;x;x;;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;;;;;Dasyprocta sp.;;;;x;x;;;;1993;Forget, 1994;"Forget, P.-M.; Munoz, E.; Leigh Jr, E.G. 1994. Predation by rodents and bruchid beetles on seeds of Scheelea palms on Barro Colorado Island, Panama. Biotropica 26(4), pp. 420-426."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;3,6;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (3%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Visual observation;2 meses;x;x;;;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Fabaceae;Dipteryx;Dipteryx oleifera;;60;30;25,2;1;50;25;25,2;0,87;50;110;Yes;;;11° 54' S;71° 19' W;;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;;;;;x;;1994;"Terborgh; Wright, 1994";"Terborgh, J.; Wright, S.J. 1994. Effects of mammalian herbivores on plant recruitment in two neotropical forests. Ecology 75(6), pp. 1829-1833."
